District,Year,nitrogen,phosphorus,potassium,ph,temperature,rainfall,humidity,irrigation_type,crop_variety,soil_type,yield
Bilaspur,2013,121.70292788317487,49.12845413282476,52.44153181884437,6.8,33.63760305710015,1281.9751309046333,70.96279986362029,0.0,0.0,0.0,6.337882538175902
Raigarh,2022,96.35504624152207,46.135683397766556,40.23042159245862,6.2,24.468031605777167,1083.3689482822047,67.004781562086,1.0,1.0,2.0,4.823196076906018
Korba,2023,87.25337753781461,39.242134328871536,41.58474257769359,6.2,24.44501725068926,1183.7875104954592,66.81776076664134,1.0,1.0,2.0,4.796347739796981
Janjgir-Champa,2010,116.90401651789158,57.61163978861187,52.82431280620919,6.8,31.16666180623366,1169.3644251669323,80.00475053263517,0.0,0.0,0.0,6.0989676214103214
Bastar,2024,97.04559404136944,38.8327620390501,33.42317468521555,5.5,26.060709758731193,1535.750390956986,85.22315973608983,2.0,2.0,1.0,5.162259472551852
Durg,2015,105.27036181097166,58.21228199278447,43.93297866502461,6.8,30.846784161630335,1202.5376416138604,72.5124680131127,0.0,0.0,0.0,6.006647277608936
Janjgir-Champa,2022,111.30390515921741,46.27038569056744,47.46589040666824,6.8,32.25202662892938,1143.1094928008754,73.26047420106525,0.0,0.0,0.0,5.938525923246122
Durg,2020,141.93987297092752,59.3567175650183,43.07385644779734,6.8,32.638291491140336,1154.8041675134766,83.21310533434661,0.0,0.0,0.0,6.4972778620963565
Raipur,2015,140.49907658289544,56.17738623323473,40.133779641327735,6.8,28.39049241831794,1241.3341633731625,84.63938303438546,0.0,0.0,0.0,6.680920294873785
Korba,2020,91.31568109101867,38.93427933824344,49.46545621118368,6.2,24.520481643829424,1197.955583775239,67.72111156709373,1.0,1.0,2.0,4.682382643398019
Bilaspur,2012,118.1706564378394,62.861285565823465,54.17288935114563,6.8,31.384618154220664,1221.1526652085413,79.9115690310621,0.0,0.0,0.0,6.001520947049587
Raigarh,2022,91.8024344772361,48.14193106301534,40.697596527495534,6.2,24.816144778482798,1077.8023518767523,67.08183952259994,1.0,1.0,2.0,4.627092082673522
Durg,2011,148.27036975682432,51.1756818373926,49.19556946769456,6.8,28.197605522067136,1215.4267081890757,77.29184576020077,0.0,0.0,0.0,6.634520625369781
Raipur,2014,120.30632154091583,51.111184913892785,56.147120501303405,6.8,28.868147828727764,1142.0752228614656,70.00524407702231,0.0,0.0,0.0,5.952225786520314
Korba,2017,90.4243023728636,39.985679754760596,38.02812859612837,6.2,26.514488072643452,1074.260098905064,72.34226438452544,1.0,1.0,2.0,4.638004049762721
Surguja,2011,112.1801415998125,37.68194221934197,44.84960319711413,6.2,22.280102117663827,1163.7466869352018,79.17510895517216,1.0,1.0,2.0,5.141257654039322
Korba,2023,90.06055619461708,37.33648559354275,49.43644813460908,6.2,26.223210445163907,1196.0941430919058,66.89445218589344,1.0,1.0,2.0,4.810295820179389
Bilaspur,2011,114.70065503667762,45.57580741673755,53.439615651880125,6.8,28.06417021858923,1142.8131877645,83.94033187375842,0.0,0.0,0.0,5.878315914628123
Bilaspur,2012,127.06338184737267,51.865113662993714,50.56973376279935,6.8,30.71474927466509,1117.473215080973,80.73416245439279,0.0,0.0,0.0,6.26833296059597
Janjgir-Champa,2017,125.40588424299078,55.640266775913304,43.264282150485144,6.8,31.57055820471276,1237.5673254589478,79.77620810946917,0.0,0.0,0.0,6.2005259531174115
Janjgir-Champa,2024,148.56700688857396,51.769706948493834,42.46460292413988,6.8,30.669470899726946,1245.7200359182455,84.51304821261095,0.0,0.0,0.0,6.562520584489937
Durg,2017,132.44446336896354,52.64098124177551,45.79765619086446,6.8,33.26376222628192,1109.5203153852465,72.37801356280691,0.0,0.0,0.0,5.989422574423261
Surguja,2012,89.49440969057999,36.10795551036308,36.4545685903717,6.2,24.742162792710513,1053.634469571348,78.53229533258967,1.0,1.0,2.0,4.87307148482298
Korba,2010,100.93823036355192,44.16834420508385,46.91799546342179,6.2,24.96906521023305,1034.8953963308734,78.55117530391732,1.0,1.0,2.0,4.9295408060747254
Bastar,2017,81.30115054385419,40.7875405626418,39.03006097201874,5.5,28.5926031288077,1530.9305341808222,75.74424867978323,2.0,2.0,1.0,4.846098711777599
Durg,2012,100.15913156379224,49.05575777362358,48.72354626791214,6.8,30.03659394889629,1243.8299844284,73.99940233552425,0.0,0.0,0.0,5.8070475950630245
Raipur,2015,147.07873824993922,45.40468289315368,54.40338475928654,6.8,31.626676499947994,1257.2813464923627,79.19855899769662,0.0,0.0,0.0,6.846793342507487
Surguja,2012,90.26112397347248,40.20063715776944,52.743486058705415,6.2,25.843642875001066,1142.0670735831463,77.32331315976573,1.0,1.0,2.0,4.843144711875905
Raipur,2015,137.29405925671185,45.3171123099983,40.676525242229175,6.8,32.63925340404634,1167.966652804929,73.24368819364487,0.0,0.0,0.0,6.431659870828703
Surguja,2011,87.38429058531933,39.52068582865675,42.85984670138065,6.2,24.41266673102693,1224.698731641455,69.25440633914984,1.0,1.0,2.0,4.795458456299396
Korba,2013,102.54842984729139,47.44267827555959,49.626044490766795,6.2,23.262637488405762,1167.897600003877,70.7355372268623,1.0,1.0,2.0,4.977817373007691
Korba,2011,109.07162253496723,44.17947836170369,37.40653080583056,6.2,25.23698527768933,1194.4778128501316,69.71358620114037,1.0,1.0,2.0,5.186526424452632
Durg,2010,124.16689279541475,58.82681007372743,56.386096362649695,6.8,33.987831813890004,1253.2044380975199,82.59419689656738,0.0,0.0,0.0,6.211023906659177
Bilaspur,2023,116.13636465573737,57.615328205598786,47.68243802805793,6.8,29.98955621359493,1198.3245916429894,84.3318845950113,0.0,0.0,0.0,6.193290185630069
Raipur,2023,119.20202038189215,48.37042571154925,50.665111985024524,6.8,31.911540361426834,1261.737382057024,77.17504503866849,0.0,0.0,0.0,6.361873232176189
Bastar,2011,83.79416468512291,43.25866975598415,33.85582146453281,5.5,27.541503453256087,1490.0261454554354,76.03532808610319,2.0,2.0,1.0,4.808512640348857
Bastar,2020,85.84648531483944,40.57489569252595,34.36074885410267,5.5,28.20636167433289,1425.7546657987648,88.3275324539996,2.0,2.0,1.0,5.012040392791272
Janjgir-Champa,2023,114.79401823912006,64.45537175139343,49.293573495699576,6.8,30.98087100047865,1203.880909188368,77.92285718029586,0.0,0.0,0.0,5.988816856764527
Raigarh,2023,88.33462262041694,46.92782352465765,36.15855931809418,6.2,24.276618677759824,1024.2039568064868,72.12197701493218,1.0,1.0,2.0,4.660913898281579
Raigarh,2019,99.28329049165575,48.806259643701395,54.986576885343204,6.2,22.170061302387296,1170.8803291692213,76.91846213217494,1.0,1.0,2.0,4.812836338651328
Raipur,2011,125.20686807980067,53.868811672354994,47.755422233618404,6.8,28.72691449346759,1249.6990468918511,79.14920973462715,0.0,0.0,0.0,6.184372945941355
Raigarh,2020,104.62683041082676,43.79624272185369,44.13769062555917,6.2,23.760560938162754,1066.4344423671819,70.94346286058106,1.0,1.0,2.0,4.993082811442264
Korba,2019,89.06483693926421,38.25377052954389,49.16586725294609,6.2,24.434424651035343,1211.8843687866993,70.06184140083985,1.0,1.0,2.0,4.772328769520985
Korba,2023,90.50201278433794,39.57094328904639,46.05027957294418,6.2,26.107038418247285,1239.3488087826506,69.24463436579946,1.0,1.0,2.0,4.886726838053374
Durg,2022,112.54030644534949,47.16871501631734,56.28323306260012,6.8,30.42781534402791,1148.4157300616434,71.75052572588358,0.0,0.0,0.0,5.907387601490662
Janjgir-Champa,2018,121.67527910719123,46.66844694922327,41.26857357132772,6.8,30.429293002321533,1190.5528264376237,71.86326939472461,0.0,0.0,0.0,6.227186547136496
Raigarh,2015,105.46805353347958,44.95434154730867,44.50575931193377,6.2,24.12697422057613,1040.9723265156833,79.95881979717086,1.0,1.0,2.0,4.941338929591125
Durg,2013,140.19978649047164,55.08513594479914,45.11923481071297,6.8,30.314462676418014,1122.4813065653511,71.24894096453419,0.0,0.0,0.0,6.4934242548326155
Durg,2012,135.43713245330005,48.37706891332335,46.314767060271635,6.8,28.646266209213504,1174.8980205914947,83.99082439805333,0.0,0.0,0.0,6.376542851963838
Raipur,2012,126.50484324255885,63.67511705631169,44.4949032932859,6.8,32.88799044199797,1256.787307488057,80.68303248732012,0.0,0.0,0.0,6.295200174687053
Janjgir-Champa,2016,109.00024870822256,48.11472549129022,48.8631406111707,6.8,29.86681751848084,1117.6159398697616,70.6688218029375,0.0,0.0,0.0,5.741311212640119
