state,district,crop,year,season,area,prod,yield,jun_rain,jul_rain,aug_rain,sep_rain,oct_rain
CHHATTISGARH,BASTAR,RICE,2000,Monsoon,258336.0,213319.0,0.83,11.9,7.14,12.85,4.4,0.71
CHHATTISGARH,BASTAR,RICE,2001,Monsoon,260224.0,385963.0,1.48,7.08,9.64,13.79,5.12,1.72
CHHATTISGARH,BASTAR,RICE,2002,Monsoon,258955.0,128736.0,0.5,6.3,6.39,11.15,2.54,1.3
CHHATTISGARH,BASTAR,RICE,2003,Monsoon,260206.0,439318.0,1.69,2.25,16.17,12.1,6.06,8.25
CHHATTISGARH,BASTAR,RICE,2004,Monsoon,260826.0,327311.0,1.25,9.86,12.22,9.58,10.08,3.73
CHHATTISGARH,BASTAR,RICE,2005,Monsoon,260734.0,349876.0,1.34,6.38,10.17,8.36,11.94,7.9
CHHATTISGARH,BASTAR,RICE,2006,Monsoon,239805.0,326040.0,1.36,4.33,14.14,12.16,10.91,1.21
CHHATTISGARH,BASTAR,RICE,2007,Monsoon,239537.0,345270.0,1.44,11.63,6.49,11.24,7.34,3.11
CHHATTISGARH,BASTAR,RICE,2008,Monsoon,240340.0,280325.0,1.17,8.86,11.73,9.66,8.83,0.48
CHHATTISGARH,BASTAR,RICE,2009,Monsoon,240074.0,278302.0,1.16,3.41,15.03,9.22,4.72,1.48
CHHATTISGARH,BASTAR,RICE,2010,Monsoon,239376.0,401486.0,1.68,7.78,15.38,15.78,11.39,5.6
CHHATTISGARH,BASTAR,RICE,2011,Monsoon,136930.0,145313.0,1.06,3.44,8.54,10.83,8.61,0.29
CHHATTISGARH,BASTAR,RICE,2012,Monsoon,137609.0,244700.0,1.78,5.12,16.51,16.19,11.61,1.38
CHHATTISGARH,BASTAR,RICE,2013,Monsoon,137727.0,229306.0,1.66,14.64,10.33,7.12,6.29,7.22
CHHATTISGARH,BASTAR,RICE,2014,Monsoon,132393.0,241480.0,1.82,4.91,13.55,9.98,12.96,2.77
CHHATTISGARH,BASTAR,RICE,2015,Monsoon,130042.0,107189.0,0.82,16.83,5.61,14.18,14.89,0.85
CHHATTISGARH,BASTAR,RICE,2016,Monsoon,132012.0,276821.0,2.1,12.31,12.41,12.24,10.76,3.32
CHHATTISGARH,BASTAR,RICE,2017,Monsoon,131766.0,173933.0,1.32,9.21,21.79,11.9,6.29,5.68
CHHATTISGARH,BASTAR,RICE,2018,Monsoon,131543.0,214670.0,1.63,3.82,11.61,18.53,7.61,0.72
CHHATTISGARH,BASTAR,RICE,2019,Monsoon,129171.0,251023.0,1.94,6.87,17.77,18.99,13.15,5.28
CHHATTISGARH,BIJAPUR,RICE,2007,Monsoon,61042.0,81497.0,1.34,9.64,5.35,9.95,9.18,1.88
CHHATTISGARH,BIJAPUR,RICE,2008,Monsoon,61144.0,42886.0,0.7,7.83,10.22,10.17,9.12,0.78
CHHATTISGARH,BIJAPUR,RICE,2009,Monsoon,58042.0,66370.0,1.14,4.3,12.41,9.11,3.68,1.58
CHHATTISGARH,BIJAPUR,RICE,2010,Monsoon,59639.0,127052.0,2.13,4.73,16.19,17.23,11.88,4.55
CHHATTISGARH,BIJAPUR,RICE,2011,Monsoon,55919.0,79528.0,1.42,3.88,8.1,10.43,5.92,0.2
CHHATTISGARH,BIJAPUR,RICE,2012,Monsoon,60841.0,115818.0,1.9,4.47,16.01,14.25,9.69,1.7
CHHATTISGARH,BIJAPUR,RICE,2013,Monsoon,61635.0,99211.0,1.61,12.22,14.38,7.53,6.21,7.3
