district,year,nitrogen,phosphorus,potassium,ph,temperature,jun_rain,jul_rain,aug_rain,sep_rain,oct_rain,humidity,irrigation_type,crop_variety,soil_type,yield
BASTAR,2000,58.454775547817576,26.412456921228873,20.349526148979887,6.539002709525993,27.297473069898235,11.9,7.14,12.85,4.4,0.71,75,1,1,0,0.85879711519459
BASTAR,2000,65.54480321499967,33.95126954214899,23.39175153078426,6.926555093116463,28.09432338606022,11.9,7.14,12.85,4.4,0.71,75,1,1,0,0.8648575626735004
BASTAR,2000,69.89465844159916,31.080201855288852,23.64808275570831,6.552455947044524,27.95519529470988,11.9,7.14,12.85,4.4,0.71,75,1,1,0,0.795288234660193
BASTAR,2000,63.47256687271364,31.45823105206328,22.262355631392058,6.649274473835735,28.177912344883502,11.9,7.14,12.85,4.4,0.71,75,1,1,0,0.8683541344727358
BASTAR,2000,68.31875441912483,35.58590645278152,23.228260705207465,6.40906590256131,27.191115384908027,11.9,7.14,12.85,4.4,0.71,75,1,1,0,0.8610192023988598
BASTAR,2001,109.66449960248154,52.09852510494732,36.347630297620285,6.674612055765789,26.595522620007255,7.08,9.64,13.79,5.12,1.72,75,1,1,0,1.5494551994709078
BASTAR,2001,118.00790594545217,52.183937544683424,39.588542845470855,6.461383147505762,27.19156306083584,7.08,9.64,13.79,5.12,1.72,75,1,1,0,1.4825402291421519
BASTAR,2001,114.23330660491607,50.670634462898185,42.457312050731204,6.362046271132384,26.84679927051809,7.08,9.64,13.79,5.12,1.72,75,1,1,0,1.5055932033432438
BASTAR,2001,116.47516955158781,52.44020529339888,38.91286658461874,6.7068120196829,26.9629230306368,7.08,9.64,13.79,5.12,1.72,75,1,1,0,1.5260640404736725
BASTAR,2001,116.79291583017047,54.08902069592022,38.719270604900395,6.597524998650893,27.868314630885347,7.08,9.64,13.79,5.12,1.72,75,1,1,0,1.4841899774015677
BASTAR,2002,35.941582354190345,16.78876363269776,12.49678795896019,6.425211749260629,25.61343658547246,6.3,6.39,11.15,2.54,1.3,75,1,1,0,0.5213994919865047
BASTAR,2002,39.73899240961006,14.914992081511024,15.081512619524785,6.43493355545205,26.083215501117884,6.3,6.39,11.15,2.54,1.3,75,1,1,0,0.4972753347398597
BASTAR,2002,33.16844687436296,14.610676585916675,6.054622663556936,6.776669734390642,26.55729824725808,6.3,6.39,11.15,2.54,1.3,75,1,1,0,0.5233519636133803
BASTAR,2002,38.1914360824774,17.25891816777366,15.58836727314424,6.508347159132689,26.80130511134796,6.3,6.39,11.15,2.54,1.3,75,1,1,0,0.48438641874948685
BASTAR,2002,36.799256359623875,20.42353872874426,7.172967569086427,6.583388819412753,26.170441500112187,6.3,6.39,11.15,2.54,1.3,75,1,1,0,0.5106995802430625
BASTAR,2003,130.7108141117495,58.63439836249787,47.08477412869648,6.465767972902129,29.128600328035198,2.25,16.17,12.1,6.06,8.25,75,1,1,0,1.7522811012074844
BASTAR,2003,135.35147779388092,61.48314339055617,48.43867175862624,6.658405200747986,28.35673528053478,2.25,16.17,12.1,6.06,8.25,75,1,1,0,1.6362139423441324
BASTAR,2003,135.04100341639113,61.11600796956472,49.289614828109016,6.452810031561135,29.718176904769834,2.25,16.17,12.1,6.06,8.25,75,1,1,0,1.6800604887659518
BASTAR,2003,135.11812707084468,60.977540421134,47.39253863102008,6.408874521875888,28.516728974773145,2.25,16.17,12.1,6.06,8.25,75,1,1,0,1.6163784056388821
BASTAR,2003,123.55205206539465,57.52663165933016,43.42311011250684,6.427562442161971,28.269438871809044,2.25,16.17,12.1,6.06,8.25,75,1,1,0,1.634105612931065
BASTAR,2004,96.73245865745203,44.3814746810411,34.44616567253828,6.616281361185754,25.642757984109366,9.86,12.22,9.58,10.08,3.73,75,1,1,0,1.2458221650560972
BASTAR,2004,95.62565626173527,44.070432523034675,37.26498067313273,6.724063352000338,27.120593445376684,9.86,12.22,9.58,10.08,3.73,75,1,1,0,1.2093761765209012
BASTAR,2004,84.69543676450297,40.35560411002104,30.330635217507208,6.555860319836496,25.942949401041968,9.86,12.22,9.58,10.08,3.73,75,1,1,0,1.2591431779940576
BASTAR,2004,95.56661016572545,45.37839598502783,34.06845055478089,6.479478480854113,26.33401454881221,9.86,12.22,9.58,10.08,3.73,75,1,1,0,1.2161389668069285
BASTAR,2004,97.32157003702608,44.31284677563422,35.027919084939725,6.5943007546656185,26.736820811826828,9.86,12.22,9.58,10.08,3.73,75,1,1,0,1.220782132202647
BASTAR,2005,94.60814644771573,40.86251152756051,31.317477977221596,6.417137490122196,27.89465084331492,6.38,10.17,8.36,11.94,7.9,75,1,1,0,1.3556557637530193
BASTAR,2005,98.28154240109909,46.12307913845873,30.936156882247797,6.692432866854855,27.490505623846726,6.38,10.17,8.36,11.94,7.9,75,1,1,0,1.3770253307035543
BASTAR,2005,93.4583541771887,40.004957677193914,26.93318369799452,6.472131746359487,27.86694391013474,6.38,10.17,8.36,11.94,7.9,75,1,1,0,1.359410077673789
BASTAR,2005,98.44174292895826,45.49431748986002,32.17665398700524,6.527907423537952,28.25099238779852,6.38,10.17,8.36,11.94,7.9,75,1,1,0,1.295517154646925
BASTAR,2005,101.66297043545342,45.518340815569886,34.62883573639386,6.5563896920901685,26.631894575111605,6.38,10.17,8.36,11.94,7.9,75,1,1,0,1.3957766591433376
BASTAR,2006,102.27120451386425,44.64718697589693,37.16871478205729,6.576778603294571,29.42631551378391,4.33,14.14,12.16,10.91,1.21,75,1,1,0,1.3040981059207557
BASTAR,2006,112.83538618110398,50.86914765372058,43.25901555826317,6.445109823706669,28.021626710107814,4.33,14.14,12.16,10.91,1.21,75,1,1,0,1.364241410144178
BASTAR,2006,102.2808860712717,46.53857553005919,37.83082469579291,6.534369947197454,28.888112903178367,4.33,14.14,12.16,10.91,1.21,75,1,1,0,1.3537229098555792
BASTAR,2006,97.8286472377666,45.57186199849465,35.86173382001154,6.232119419354412,27.78676052736637,4.33,14.14,12.16,10.91,1.21,75,1,1,0,1.3175041221960115
BASTAR,2006,100.31469060573221,44.966474420146646,32.58562820311503,6.432266111126031,27.589757742567233,4.33,14.14,12.16,10.91,1.21,75,1,1,0,1.31559462086263
BASTAR,2007,102.7252993672877,41.37833908475691,36.946922307145066,6.534243324906546,27.236220128591906,11.63,6.49,11.24,7.34,3.11,75,1,1,0,1.4784148508246187
BASTAR,2007,106.33165661893842,48.676460736336665,41.42803945686643,6.297489327532004,27.938332280608186,11.63,6.49,11.24,7.34,3.11,75,1,1,0,1.478015073678234
BASTAR,2007,111.82034817187287,51.27793313302731,41.79503016288894,6.5397975224875164,27.019310549480906,11.63,6.49,11.24,7.34,3.11,75,1,1,0,1.4029765855823653
BASTAR,2007,107.65288952281473,49.505450801321345,36.777181200819825,6.642735387559323,26.578844257658748,11.63,6.49,11.24,7.34,3.11,75,1,1,0,1.3992284656751084
BASTAR,2007,113.25281397743422,49.1587145297483,37.33310482930221,6.7813749054936645,26.755443688818254,11.63,6.49,11.24,7.34,3.11,75,1,1,0,1.5090556545081621
BASTAR,2008,94.71712693883536,44.86070071579487,33.371203633280054,6.638770671746747,29.0772424444437,8.86,11.73,9.66,8.83,0.48,75,1,1,0,1.1344699334305672
BASTAR,2008,93.9024451639997,41.017418623596456,35.74244504820894,6.667289886421116,27.99180279241721,8.86,11.73,9.66,8.83,0.48,75,1,1,0,1.1906795764265443
BASTAR,2008,92.20609252321705,39.61164732159188,31.27402605481745,6.46525754880845,27.492222914304378,8.86,11.73,9.66,8.83,0.48,75,1,1,0,1.1263190326589145
BASTAR,2008,88.94125233787709,44.088075269867275,29.269574349371272,6.588949163454468,28.250693868207126,8.86,11.73,9.66,8.83,0.48,75,1,1,0,1.2077564754857852
BASTAR,2008,79.60019467992792,35.5340106558787,28.46708448138782,6.536935124363074,29.0735934207585,8.86,11.73,9.66,8.83,0.48,75,1,1,0,1.167041252069307
BASTAR,2009,92.938434528669,41.59120607887332,30.564312021383657,6.3986479876524065,28.28539294676991,3.41,15.03,9.22,4.72,1.48,75,1,1,0,1.1765215036075902
BASTAR,2009,91.66041921295819,38.2460899455656,28.12475439945184,6.778378750012467,28.960466157709973,3.41,15.03,9.22,4.72,1.48,75,1,1,0,1.211763124646918
BASTAR,2009,81.60495469532356,37.95800310097581,29.334521188147086,6.5767142827659155,29.333049202364915,3.41,15.03,9.22,4.72,1.48,75,1,1,0,1.1820533936975393
BASTAR,2009,86.59510680269682,38.85355124592019,30.101087132419163,6.597427850718494,28.604497776043566,3.41,15.03,9.22,4.72,1.48,75,1,1,0,1.1569550448716168
BASTAR,2009,87.63479656358204,38.94769932610017,31.450838692178674,6.543718586851917,29.453631213098312,3.41,15.03,9.22,4.72,1.48,75,1,1,0,1.1983180403476363
BASTAR,2010,126.79969474203318,56.373210073155256,44.136645999807385,6.529562406269958,29.364100659887786,7.78,15.38,15.78,11.39,5.6,75,1,1,0,1.7099034042301062
BASTAR,2010,134.1410320775575,59.66413738770938,49.114727753062596,6.303828042490185,29.29009304821648,7.78,15.38,15.78,11.39,5.6,75,1,1,0,1.6826804898062737
BASTAR,2010,123.11465305229451,58.5067818783688,42.09487873743179,6.509131950176099,29.16796224927146,7.78,15.38,15.78,11.39,5.6,75,1,1,0,1.6526894005385457
BASTAR,2010,127.20556407444738,59.46186501682427,45.79425114829878,6.649413240602419,28.324014328561663,7.78,15.38,15.78,11.39,5.6,75,1,1,0,1.7483223191748551
BASTAR,2010,119.19097670372778,53.992238092325145,41.156825533712606,6.412267265389646,28.90239328136502,7.78,15.38,15.78,11.39,5.6,75,1,1,0,1.7580065476986362
BASTAR,2011,78.80728152630405,38.37149777182984,30.56239161366892,6.599782170772096,27.371066721348573,3.44,8.54,10.83,8.61,0.29,75,1,1,0,1.089827755139639
BASTAR,2011,86.48171206181838,38.79730538391159,30.237155339342507,6.203932107710426,28.164373927028006,3.44,8.54,10.83,8.61,0.29,75,1,1,0,1.0124170105310883
BASTAR,2011,86.520831028801,38.52160332856278,28.880341055823315,6.496983526441184,26.99319405278716,3.44,8.54,10.83,8.61,0.29,75,1,1,0,1.0365549576608524
BASTAR,2011,82.02753265772313,34.30851090806072,30.00856991487972,6.637502733866655,27.92108872215288,3.44,8.54,10.83,8.61,0.29,75,1,1,0,1.041578937591489
BASTAR,2011,81.862052885234,38.36090021518575,28.15855810960134,6.803264728518239,27.703251015094917,3.44,8.54,10.83,8.61,0.29,75,1,1,0,1.0564498219736251
BASTAR,2012,140.33306378219214,61.55345569340364,47.07287628736994,6.744047429679637,28.962614969535128,5.12,16.51,16.19,11.61,1.38,75,1,1,0,1.7729452050927323
BASTAR,2012,143.42506751018763,62.97526032439866,53.775044101218505,6.554593830018063,27.928867992987094,5.12,16.51,16.19,11.61,1.38,75,1,1,0,1.7368263664765873
BASTAR,2012,136.35917739178026,65.05674702856014,48.41700924523917,6.595584576878156,28.75459552066683,5.12,16.51,16.19,11.61,1.38,75,1,1,0,1.7054626357228835
BASTAR,2012,139.59887033960322,62.49130836843772,47.266621627253485,6.6287439089915905,29.363730344551197,5.12,16.51,16.19,11.61,1.38,75,1,1,0,1.7417663504836003
BASTAR,2012,127.81319278105626,60.512294022263426,46.93717137571409,6.527525055107666,29.340455990108985,5.12,16.51,16.19,11.61,1.38,75,1,1,0,1.7082278622080704
BASTAR,2013,123.62267453325983,56.403586751229845,44.10093283457962,6.233429651789799,28.135527993509836,14.64,10.33,7.12,6.29,7.22,75,1,1,0,1.6525439735888663
BASTAR,2013,129.7106255715924,56.45633282065579,46.83062412563756,6.503064333412527,27.527817711483937,14.64,10.33,7.12,6.29,7.22,75,1,1,0,1.6652844851706194
BASTAR,2013,122.69566718751521,53.73311451878655,44.868940878278586,6.140636521163251,27.253625010100393,14.64,10.33,7.12,6.29,7.22,75,1,1,0,1.70450617875563
